"name","comment","date","rating"
"Hage Linger","This review may contain spoilers. I can handle the truth.","31 Jan 2024",1
"splatoise","""Du hast die kognitive Dissonanz einer Frau im Patriarchat in Worte gefasst, und es damit seiner Macht beraubt!"" Ja, dieser impertinent gestelzte Satz kommt aus dem Mund von Margot Robbies Barbie-Figur, just nachdem America Ferreras Figur Gloria als Mensch im Barbieland eine inhaltlich zwar NATÜRLICH nahezu 100% zutreffende, aber an Vorschlaghammer-Plumpheit nicht zu überbietende Brandrede gehalten hat, um so das Barbieland zu retten.Auch beim Rewatch wird aus einem optisch sehr toll durchdachten, inhaltlich aber höchst fragwürdigen Barbie-Werbefilm nicht der…","31 Jan 2024",2
"aleynaakgul","Ken was really annoying like he got apologised TO at the end SUCH A POOR ENDING. Barbie turning human was cool I loved that compilation thing they did. Not mindblowing like people made it out to be.","01 Feb 2024",4
"belén","You're a cowboy like mePerched in the darkTelling all the rich folks anything they wanna hearLike it could be loveI could be the way forwardOnly if they pay for itYou're a bandit like meEyes full of starsHustling for the good lifeNever thought I'd meet you hereIt could be loveWe could be the way forwardAnd I know I'll pay for it","30 Jan 2024",4
"chloeking1513","buena película para ver en avión","31 Jan 2024",4
"geov_n_","margot devoured","27 Jul 2023",3
"MLE","we love pink characters!","29 Jan 2024",3
"Tilly Bolgar","the last girl in the world to see Barbie. my AMC brought it back and it was such a fun cinema experience! Reminded me how much I LOVE being a woman. Kept smiling at the little details that reminded me of all Barbie toys I once had 💖","31 Jan 2024",4
"Jose_Munoz64","This was a fun film and like woooooo! Feminist! But I think it was slightly overhyped as the most groundbreaking feminist movie to have ever been made, when I thought the concept of it was pretty simple the ideas not that nuanced. Tbh I did read lots of critiques of it after which defo altered my view of it and made me think twice abt it. But I think the main thing that pissed me off was that barbies are…","31 Jan 2024",5
"rev_buck","Micheal Cera was both under and properly utilized","21 Jul 2023",3
"Alexis Saldaña","Guys it was so good","",4
"tosiawasowicz","Díganme machista pero lo más chido de la película es Ken.","31 Jan 2024",NA
NA,"Przecież to najsłodszy film na ziemi i myślę, że głupio oskarżać ten film o tyle rzeczy którymi nie jest. Jest autotematyczny, jest zabawny, dobrze napisany, kochany, rodzinny.",NA,NA
"dara","fui mt feliz assistindo mas esperava mais","18 Jan 2024",3
"Alkmene","best supporting role  the dog ( barking )","31 Jan 2024",5
"Nicinefila","la mitad d la película dije girl soy esa y luego llore diciendo, GIRL SOY ESA","31 Jan 2024",4
"h","o kadar çok beğendim ki beğenimi dile getirecek kelimeleri bulamıyorum. ataerkil bir dünyanın içinde hayatta kalmaya çalışan kadınlar.","01 Feb 2024",5
"eva","nothing will ever match the barbie summer","31 Jan 2024",5
"Skaultz","Overhyped 💩","29 Jan 2024",2
"brennanolin","Funny movie. Enjoyed Margot and Gosling. Fun theater experience.","27 Jul 2023",3
"Edwin Mondragon","Even better the second time. This is such a heartfelt movie and Barbies empathy is definitely admirable. The scene with Barbie and her creator Ruth, was really touching and emotional. At the end of it all, is just about being human and us defining our very own person. Barbies final “yes”, embracing her humanity despite knowing the imperfections and challenges that will come with being a woman, made me tear up. Yet, she welcomed it, with a tear and a smile, holding onto those beautiful moments of humanity and womanhood.","30 Jan 2024",5
"mervgriffin1876","Nice message but pretty mediocre movie","31 Jan 2024",3
"freddyp8804","A surprising good film! Greta Gertwig mastered mixing both feminism with entertaining managing to craft an emotional rollercoaster full of kenergy leaving you with an enjoyable experience.","04 Aug 2023",4
"sofita_","ME GUSTO no me volvio loca, pero me gusto. una peli q vale la pena ver y mas si sos mujer, mueve muchisimos sentimientos y pensamientos","31 Jan 2024",4
"BigCumOnion","Can't wait for 5 years from now when anyone who actually remembers this move turns on it for some unspeakablely stupid reason ( Mojo Dojo Casa house is 80's appropriation).","31 Jan 2024",5
"deniznakamura","me when im self-aware and verbose asf 🤪🤪🤪","31 Jan 2024",2
"may ˚｡⋆","é só um live action de uma boneca mas é um filme perfeitakente dirigido. o discurso da America, a crítica por trás das piadas, as referências as roupas e a outras bonecas. É TUDO PERFEITO!!!","31 Jan 2024",5
"luciatristw","lloré","02 Nov 2023",4
"C. Y. Yeh","“Barbie” takes viewers on a colorful journey into Barbie Land, where Barbie and Ken navigate the transition to the real world, uncovering both its joys and perils. While the initial 30 minutes left me uncertain about the film’s direction, it gradually unfolds into an interesting exploration of social constructs like matriarchy and patriarchy, prompting viewers to question these norms and embrace their authentic selves. While not groundbreaking, the film delivers its age-old message with humor, intelligence, and commendable acting and directing. It may not be a must-see, but it’s a worthwhile watch, perhaps best enjoyed on a cozy Netflix night with ice cream.","22 Jul 2023",2
"naglj024","purrrr, serving cunt","31 Jan 2024",5
"Roemi","Haven't had a headache like this since Troll 2","31 Jan 2024",2
"duda_pv","Uma parte de mim morre toda vez que alguém fala mal desse filme pelos motivos errados. Achei que a moral do filme ficou muito rasa e não forçaram mais pro filme continuar mainstream e homem não reclamar mais ainda. IM JUST KEN NAO É A MÚSICA DO ANO (mesmo a cena tendo ficado muito boa) E A MARGOT ROBBIE NÃO FOI BOICOTADA NO OSCAR.","31 Jan 2024",4
"Cr0wF3ath3rs","mother","31 Jan 2024",4
"Olive","This movie poses the same questions i had when i was nine. Not very complex by feminist standards, but fairly well done and i don’t think I’m Just Ken should have won awards over other songs in the movie","31 Jan 2024",3
"Neal Obremski","Existential crisis Barbie 🥰","31 Jan 2024",4
"can cüm","stüdyoların iyi yanı herkese film çekme hakkı vermesi kötü yanı ise herkese film çekme hakkı vermesi","31 Jan 2024",3
"jermainepina","Completely unrealistic, the Mattel headquarters tower had WAY to many OSHA violations to be permitted for construction.","31 Jan 2024",5
"jessieq","LINDO chorei ☝️","31 Jan 2024",5
"tokyzinho","Filme incrível!! é super importante nos dias de hoje onde no mundo as mulheres são desvalorizadas e tudo que elas fazem tem que ser perfeito, e o filme fala super bem sobre esse assunto","31 Jan 2024",3
"Omarrr","I liked it, my mom didn’t, I believe she likes horses and patriarchy.","31 Jan 2024",3
"Huub","Hoop dat het goed gaat met Allan","31 Jan 2024",4
"lana 💜","Think if I'd been free when my family/friends went to the cinema and dressed up I would've really loved this though. It's not quite a sofa and cup of tea watch, it's a dress up and tipsy watch 💖","31 Jan 2024",3
"eneab17","È stata una tortura cinese assistere a questo film, un'agonia infernale velata di rosa.Non saprei da dove partire, ci sono tante di quelle cose sbagliate che non si contano nemmeno. Partiamo dall'estremo femminismo tossico che contraddistingue completamente la pellicola? In un mondo governato da uomini stupidi, rappresentando un'utopia dove ovunque sono così. Non si riesce a prendere seriamente, i dialoghi sembrano scritti da dei cani","31 Jan 2024",0
"giogarcezs","Argh eu amo ser mulher","31 Jan 2024",4
"loolaa","greta gerwing dio la vida por las chicas","31 Jan 2024",5
"Bia","Um dos melhores filmes voltados para o publico feminino, mostra o lado bom e ruim de ser mulher no mundo real, me emocionei na cena do monólogo","31 Jan 2024",5
"Adam Brown","Was good, mostly I was very enticed by the Micheal Cera scenes","31 Jan 2024",3
"clarinha","talvez eu so nao tenha gostado pq estava extremamente desconfortável no avião, achei bem mid","29 Jan 2024",2
"auraserell","the community of it was fun - the house got a big group together to go see it for my birthday. katy and grace were in from arizona and arkansas which made it even better. had lots of wine and pasta that night. i loved it at first, but became more cynical as time passed. i wanted to enjoy it because i rarely enjoy newer blockbusters. however, the reason i rarely enjoy them is because they have such a distinguished…","31 Jan 2024",3
"lana 💜","Margot Robbie and Ryan Gosling etc - incredible bit of casting 🤌","31 Jan 2024",3
"sophiev07","Just didn't really get into it, loved the costumes/hair/set design/dance no.s etc, but lots of the dialogue felt really unnatural/trendy/online (get that that's on purpose because they're dolls). Additionally, the story felt a little unoriginal (Enchanted did it better in my opinion). I just didn't find it totally empowering 🫣 and throwaway lines like ""ocd not included"" (paraphrasing) were not my fave things -almost like scrolling through ""relatable""…","02 Aug 2023",2
"LonelyDriver34","i saw this while on a date and was a bit distracted at the fact that i needed to end things with her right after the movie BUT","08 Dec 2023",3
"moonkrishh","i didn't really think too much about the movie like i enjoyed it as just a fun movie with some, surface level, but nice feminist messages. like i EXPECTED it to be surface level femenism, so yknow, i wasn't pissed. however i did sob when barbie called the older woman because the…","31 Jan 2024",3
"_escobaaar_","Only liked the Ken parts and the ending","31 Jan 2024",4
"mellody_rsgg","Tiene un mensaje muy lindo, aun así no fue el gran hype que me esperaba","31 Jan 2024",4
"vanessa kirby's wife.","how i love to be a woman","29 Jul 2023",3
"Arnaut10","ofc I get it","31 Jan 2024",5
"coe","being a woman is not easy, never will be.","31 Jan 2024",5
"Ln","this is the first time ever I've seen the same movie for the second time on a big screen and I have no regrets about it. I had so much fun watching it first time so when my friend, who didnt get to see it when it just came out, invited me to go with her I though why not? ryan is amaizing and ken is hilarious, its even more fun to watch him again and I think he can never get boring, I noticed more sets and costume details and they are all phenomenal. definitely worth your time","31 Jan 2024",4
"ana ceci","rip pre-cancelled lizzo, you wouldve loved the barbie premiere","31 Jan 2024",4
"kimberlyntv","yeaaaaa but I wish Barbie and Ken WERE stupid and in love ala Toy Story 3","31 Jan 2024",4
NA,"assisti dnv com minha mamae",NA,NA
NA,"really hard being a girl",NA,NA
