"name","comment","date","rating"
"mrnodi","can't wait to see all those weird barbie Halloween costumes this year!","23 Jul 2023",3
"Türkiz","I cried my heart out to this film. Maybe I watched it at the wrong time or maybe the perfect. I am dealing with anxiety, depression and existential crisis lately and this movie really made me feel seen. It articulated the ideas that haunts my brain since forever that I couldn’t put into words sometimes. Thank you Greta for making this movie, understanding and representing women and making us feel united🩷","23 Jul 2023",4
"miranda","Left me questioning my life choices","23 Jul 2023",4
"annarose44","Amazing movie. If only everyone went into the movie with zero assumptions and truly watched it","23 Jul 2023",4
"krissy","this was so fun i enjoyed all the references to classic barbies as well as the pink theme and outfits. the deeper message a out womanhood was great but they were definitely pushing it a bit towards the end. the jokes were great and the ken’s were great comic relief however i think the scenes towards the end started to drag","23 Jul 2023",4
"christinalance","michael cera is so babygirl","23 Jul 2023",5
"oleiololei","peak cinematography, i cried","23 Jul 2023",5
"AdilsonJunior","O filme é propositalmente exagerado e repete muitas falas mas nunca se perde, consegue ser extremamente divertido e engraçado. Gosto particularmente de como a Greta está inspirada nesse filme tanto em planos e visual (as sequências musicais com o Ken exemplificam muito bem) como nos diálogos, aqui ela tem liberdade para expor todas as suas ideias e crenças mas faz tudo com muita naturalidade dentro desse mundo tão absurdo.","22 Jul 2023",4
"Brandon Haataia","Essa inspiração veio a calhar quando o filme se baseia em…","20 Jul 2023",4
"goosemayo","Existential Crisis Barbie and Male Empowerment Ken.Where was Tyra Banks?","22 Jul 2023",4
"RonanMaher","The bluntness with which this film is self-aware or woke will rub all the right people the wrong way. Self-awareness is fitting in a movie about existential dread.","23 Jul 2023",4
"kossifas","Do you feel Ken was mistreated and characterized as a dumb male stereotype? Congrats, you might be a feminist.","22 Jul 2023",3
"mrnodi","tons of fun, laughed the whole time. made me stop thinking about oppenheimer for a couple hours","23 Jul 2023",3
"Türkiz","Barbie follows a path that was laid down by the Lego Movie in the highly meta narrative about a popular toy product and could easily have been a pale imitator but does an excellent job in forging its own identity and becoming one of the most instantly iconic films of the year.It's a movie that treads a fine line in many regards, with the narrative aesthetic and jokes all things that could have easily fallen falt and generated a…","23 Jul 2023",4
"miranda","Lovely, delightful but more toothless than marketed. Ryan Gosling is an underrated comic actor.","23 Jul 2023",4
"2ndRules","If you love Barbie, this movie is for you.If you hate Barbie, this movie is for you.","23 Jul 2023",4
"njk007","While my childhood didn't involve, associated or participated in fashion dolls, but Barbie sprawling and tackles so many aspiring themes, mainly exposed the patriarchal system that influenced the gender dynamics in the reality.","23 Jul 2023",4
"Cizkek","And explores the inspirational idealized concept of the most popular doll-line from Mattel, which also have been made fun in the corporate aspect, to appreciation the self-confident and the…","23 Jul 2023",4
"misaelito","One of the movies","23 Jul 2023",5
"lailamac","Bu kadar güçlü ve anlamlı bir film olacağını 40 yıl düşünsem idrak edemezdim. Margot Robbie’nin mimikleri ve aktrörlüğü inanılmazdı, şakaların %95’i muazzam sıkıştırılmıştı.","23 Jul 2023",1
